Price + Delivery	Condition	Seller Information	Delivery
  175.00 | Prime : No | +   60.00 Delivery | Pay on Delivery eligible	New	The alliance | 3.5 out of 5 stars  | 50% positive | 6 total rating	Not fulfilled by Amazon
  185.00 | Prime : No | +   60.00 Delivery | Pay on Delivery eligible	New	SHIVSHAKTI BOOKS | Just Launched	Not fulfilled by Amazon | 6-7 days
  170.00 | Prime : No | +   60.00 Delivery | Pay on Delivery eligible	New	Luxury Book Center | 2.5 out of 5 stars  | 27% positive | 11 total rating	Not fulfilled by Amazon
  220.00 | Prime : No | +   60.00 Delivery | Pay on Delivery eligible	New	Priya book dipo | Just Launched	Not fulfilled by Amazon
  199.00 | Prime : No | +   60.00 Delivery | Pay on Delivery eligible	New	A K BOOK | 1 out of 5 stars  | 0% positive | 1 total rating	Not fulfilled by Amazon
  299.00 | Prime : No | +   60.00 Delivery | Pay on Delivery eligible	New	famous_Books | 4.5 out of 5 stars  | 75% positive | 4 total rating	Not fulfilled by Amazon
  220.00 | Prime : No | +   60.00 Delivery | Pay on Delivery eligible	New	MAA SHARDA BOOK STORE | Just Launched	Not fulfilled by Amazon
  260.00 | Prime : No | +   60.00 Delivery | Pay on Delivery eligible	New	TWO BRO ENTERPRISES | Just Launched	Not fulfilled by Amazon
  281.00 | Prime : No | +   60.00 Delivery | Pay on Delivery eligible	New	Book tree. | Just Launched	Not fulfilled by Amazon
  299.00 | Prime : No | +   60.00 Delivery | Pay on Delivery eligible	New	Aaditya BOOK SERVICE | 4 out of 5 stars  | 73% positive | 66 total rating	Not fulfilled by Amazon
  405.00 | Prime : Yes |  | Pay on Delivery eligible	New	ApnaBazzar | 3.5 out of 5 stars  | 61% positive | 51 total rating	Not fulfilled by Amazon
  440.00 | Prime : No |  | Pay on Delivery eligible	New	GBD BOOKS | 4 out of 5 stars  | 68% positive | 232 total rating	Not fulfilled by Amazon
  492.00 | Prime : No |  | Pay on Delivery eligible	New	Shreeganesh16 | 4.5 out of 5 stars  | 83% positive | 27 total rating	Not fulfilled by Amazon
  530.00 | Prime : No | 	New	The Grand_Store | 3 out of 5 stars  | 50% positive | 10 total rating	Not fulfilled by Amazon | 14-17 days
