Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Inetrade India	1527.84	3,253	51.84	1.0351	4	75%	0	0	0
Atlantic Publishers and Distributors	1476.00	14,538	0.0	1.0	4.5	94%	0	0	1
Peacockbooks	1550.00	2,801	74.0	1.0501	4.5	92%	0	0	0
Bookswagon	1717.00	6,382	241.0	1.1633	4	70%	0	0	0
Bookswagon	1721.00	6,382	245.0	1.166	4	70%	0	0	0
Suraj Trading - Express Delivery	1692.00	48	216.0	1.1463	3	53%	0	0	0
MegaOnlineDeals	1692.00	187	216.0	1.1463	4	79%	0	0	0
Sunrise Book store	1616.00	1,358	140.0	1.0949	3.5	61%	0	0	0
Sunrise Book store	1821.00	1,358	345.0	1.2337	3.5	61%	0	0	0
B2A UK	1941.00	6,928	465.0	1.315	4.5	83%	0	0	0
