Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Manav Books	222.00	1,856	0.0	1.0	4	78%	1	0	1
Cloudtail India	245.00	1,299,235	23.0	1.1036	4.5	92%	1	1	0
JBCPD	251.00	32,618	29.0	1.1306	4.5	93%	1	0	0
Mittal Books India	267.00	15,728	45.0	1.2027	4.5	95%	1	0	0
uRead-Store	271.00	25,136	49.0	1.2207	4.5	92%	1	0	0
STM Traders Pvt Ltd	302.00	1,278	80.0	1.3604	4.5	89%	1	0	0
Inetrade India	235.89	3,253	13.89	1.0626	4	75%	0	0	0
O_Store	253.38	593	31.38	1.1414	4.5	87%	0	0	0
Rama BOOKS	259.56	6	37.56	1.1692	3.5	67%	0	0	0
Sunrise Book store	300.00	1,358	78.0	1.3514	3.5	61%	0	0	0
MANJU INTERNATIONAL	309.00	86	87.0	1.3919	4	79%	0	0	0
V5MARK	285.00	8	63.0	1.2838	4	75%	0	0	0
BooksRaja	301.00	171	79.0	1.3559	4.5	85%	0	0	0
Manila Books Services	309.00	13	87.0	1.3919	4.5	92%	0	0	0
Books-a-zillion	309.00	89	87.0	1.3919	4	82%	0	0	0
Speedy_Books	466.00	490	244.0	2.0991	4.5	81%	0	0	0
SAI BOOKS	305.00	181	83.0	1.3739	3	46%	0	0	0
Book eHub	696.00	32	474.0	3.1351	4	72%	0	0	0
Ebookstore	777.00	522	555.0	3.5	4.5	85%	0	0	0
ASIAN TREASURES	854.00	18	632.0	3.8468	4.5	94%	0	0	0
