Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
The alliance	175.00	6	5.0	1.0294	3.5	50%	0	0	1
SHIVSHAKTI BOOKS	185.00		15.0	1.0882			0	0	0
Luxury Book Center	170.00	11	0.0	1.0	2.5	27%	0	0	0
Priya book dipo	220.00		50.0	1.2941			0	0	0
A K BOOK	199.00	1	29.0	1.1706	1	0%	0	0	0
famous_Books	299.00	4	129.0	1.7588	4.5	75%	0	0	0
MAA SHARDA BOOK STORE	220.00		50.0	1.2941			0	0	0
TWO BRO ENTERPRISES	260.00		90.0	1.5294			0	0	0
Book tree	281.00		111.0	1.6529			0	0	0
Aaditya BOOK SERVICE	299.00	66	129.0	1.7588	4	73%	0	0	0
ApnaBazzar	405.00	51	235.0	2.3824	3.5	61%	0	0	0
GBD BOOKS	440.00	232	270.0	2.5882	4	68%	0	0	0
Shreeganesh16	492.00	27	322.0	2.8941	4.5	83%	0	0	0
The Grand_Store	530.00	10	360.0	3.1176	3	50%	0	0	0
