Seller	No. of times it competes for buybox	No. of times it wins the buybox
radhika A communication	108	3
BOOK CENTRE	412	1
BooksRaja	613	2
Books-a-zillion	1638	0
Sunrise Book store	4511	11
O_Store	421	2
SAI BOOKS	903	0
Ebookstore	295	2
CB-India (online store of Computer Bookshop (I) Pvt. Ltd.)	84	0
Book eHub	240	2
ASIAN TREASURES	215	1
Speedy_Books	231	3
World500	682	0
uRead-Store	1433	604
Amazing_Buy	910	320
R-our Book	252	9
Randomindia	144	0
Book Selection Centre	299	2
Buy Amazing Books	640	0
MK BOOKS INDIA	1167	0
RSONS	373	0
Inetrade India	1165	36
The Bookhive	573	1
Bookflow	1408	6
fairdealenterprise	281	0
Winmaarc	267	0
ReadAhead	583	0
Wish Your Book	120	0
Resource book store	241	0
BW ENTERPRISES	550	1
Suryan Books	347	1
Browsers' Lounge	499	2
Amazing BookS	232	0
BSK Book	568	0
Goodread Bookstore	557	12
Abhinav Books Store	621	1
S B T books	585	0
W S Retaill	648	0
BookInc	496	1
Booksmandi	718	1
Santusti Enterprises	268	0
Book store01	633	0
N.S. DISTRIBUTOR	145	0
BOOKKR	634	0
Ambe Books	342	0
Ginni Books	412	0
A to Z Book House	924	3
Maitry book Agency	146	0
Bookswagon	3525	80
B2A UK	838	18
SmartGlobal	223	1
Read factor	586	0
Pillbooks	29	0
Mumbai gift corner	387	7
Royal500	305	3
HERITAGE PUBLISHERS	557	0
Lot Book	51	0
iTippi Book	56	0
Skycart	623	3
CrossWord Books	835	2
killer,sbooks	191	0
SN Square	201	0
iMusti Inc.	2	0
Universal Books House (P) Ltd.	120	0
PICK A BOOKS	44	4
Gayatri kkd	6	0
DIGITAL PRESS	32	0
OM Sakthi Books	10	0
All India Book House	61	3
Cloudtail India	1092	866
Simmra Book House	34	0
Mittal Books India	176	3
ALLBOOKS	1	0
ReaderBooks	111	2
Comma365	612	1
Rama BOOKS	169	3
Shivank Books	9	0
Darth Vader	112	0
Kushii Radiance Bookshop	291	0
V5MARK	391	1
KAVYA BOOKS	4	0
SHIVAYA BOOKS	19	0
ALL INDIA BOOK STORE	102	0
siddharth books	76	0
TODAY READERS	37	0
ScribbleGraffito	768	0
Booknow	341	1
aspire india	308	4
Vridhi Books	10	0
READERS CHOICE BOOKS	53	1
amazingbuy_	83	0
CNA Bookstore	94	0
NEWLIGHT BOOK HOUSE	23	0
Bridging Borders	2	0
ApnaBazzar	110	1
Sri Ganesha Books	391	4
A Mind's Bookstore	345	3
SBM Enterprises	338	0
FOUNTAINHEAD	343	3
Okhla Book Distributor	105	1
Book Wise Darya Ganj	131	6
MONOBO BOOKS	149	0
#BooksStore	28	0
Nanhi Shop	56	0
DilliDukan	45	0
Vaishno Books Store	66	0
BookAdda	228	0
Payal Books	172	1
SansRack	200	11
