Price + Delivery	Condition	Seller Information	Delivery
  1,999.00 | Prime : Yes |  | Pay on Delivery eligible	New	Appario Retail Private Ltd | 4.5 out of 5 stars  | 93% positive | 302,239 total rating	Fullfilled by Amazon
  2,248.00 | Prime : Yes |  | Pay on Delivery eligible	New	Special Deals | 3.5 out of 5 stars  | 74% positive | 31 total rating	Fullfilled by Amazon
  2,249.00 | Prime : Yes |  | Pay on Delivery eligible	New	Sky Sales | 5 out of 5 stars  | 100% positive | 9 total rating	Fullfilled by Amazon
  2,276.00 | Prime : Yes |  | Pay on Delivery eligible	New	camnaccstore | 4 out of 5 stars  | 77% positive. | 611 total rating	Fullfilled by Amazon
  2,290.00 | Prime : Yes |  | Pay on Delivery eligible	New	Electric-Deals | 4.5 out of 5 stars  | 94% positive | 1,303 total rating	Fullfilled by Amazon
  2,299.00 | Prime : Yes |  | Pay on Delivery eligible	New	Best in Tech | 4.5 out of 5 stars  | 94% positive. | 252 total rating	Fullfilled by Amazon
  2,388.00 | Prime : Yes |  | Pay on Delivery eligible	New	Krazzy Deal | 3.5 out of 5 stars  | 63% positive | 20 total rating	Not fulfilled by Amazon
  2,390.00 | Prime : No |  | Pay on Delivery eligible	New	Digital Xpert | 5 out of 5 stars  | 97% positive | 1,034 total rating	Not fulfilled by Amazon | 9-10 days
  2,490.00 | Prime : Yes |  | Pay on Delivery eligible	New	CIRCUIT BOARD | 5 out of 5 stars  | 100% positive | 1,772 total rating	Fullfilled by Amazon
  2,590.00 | Prime : No |  | FREE Delivery.	New	The-EStore | 4.5 out of 5 stars  | 83% positive | 154 total rating	Not fulfilled by Amazon | 1-4 days
