Price + Delivery	Condition	Seller Information	Delivery
  1,120.00 | Prime : No | FREE Delivery | Pay on Delivery eligible	New	Xtreme Focus | 4.5 out of 5 stars  | 95% positive. | 452 total rating	Not fulfilled by Amazon | 5-7 days
  1,147.00 | Prime : Yes | FREE Delivery | Pay on Delivery eligible	New	Appario Retail Private Ltd | 4.5 out of 5 stars  | 93% positive | 302,275 total rating	Fullfilled by Amazon
  1,148.00 | Prime : Yes | FREE Delivery | Pay on Delivery eligible	New	AARAV EMART | 4 out of 5 stars  | 79% positive. | 19 total rating	Fullfilled by Amazon
  1,160.00 | Prime : No | FREE Delivery | Pay on Delivery eligible	New	CELLULARINDIAINC | 4 out of 5 stars  | 76% positive. | 136 total rating	Not fulfilled by Amazon | 5-7 days
  1,190.00 | Prime : Yes | FREE Delivery | Pay on Delivery eligible	New	Extender | 4.5 out of 5 stars  | 90% positive | 201 total rating	Fullfilled by Amazon
  1,190.00 | Prime : Yes | FREE Delivery | Pay on Delivery eligible	New	CIRCUIT BOARD | 5 out of 5 stars  | 100% positive | 1,772 total rating	Fullfilled by Amazon
  1,190.00 | Prime : Yes | FREE Delivery | Pay on Delivery eligible	New	Digitaly yours | 3 out of 5 stars  | 53% positive. | 36 total rating	Fullfilled by Amazon
  1,230.00 | Prime : Yes | FREE Delivery | Pay on Delivery eligible	New	Electric-Deals | 4.5 out of 5 stars  | 94% positive | 1,303 total rating	Fullfilled by Amazon
  1,235.00 | Prime : Yes | FREE Delivery | Pay on Delivery eligible	New	DIGI POINT | 4.5 out of 5 stars  | 88% positive | 183 total rating	Not fulfilled by Amazon
  1,290.00 | Prime : Yes | FREE Delivery | Pay on Delivery eligible	New	Digital Xpert | 5 out of 5 stars  | 97% positive | 1,034 total rating	Fullfilled by Amazon
  1,290.00 | Prime : Yes |  | Pay on Delivery eligible	New	Digitaly yours | 3 out of 5 stars  | 53% positive. | 36 total rating	Fullfilled by Amazon
  1,290.00 | Prime : No |  | Pay on Delivery eligible	New	Digital Xpert | 5 out of 5 stars  | 97% positive | 1,034 total rating	Not fulfilled by Amazon
  1,220.00 | Prime : No |  | Pay on Delivery eligible	New	EasyShoppe | 3.5 out of 5 stars  | 67% positive. | 18 total rating	Not fulfilled by Amazon | 5-7 days
