Price + Delivery	Condition	Seller Information	Delivery
  399.00 | Prime : Yes |  | Pay on Delivery eligible	New	Appario Retail Private Ltd | 4.5 out of 5 stars  | 93% positive | 302,273 total rating	Fullfilled by Amazon
  449.00 | Prime : Yes |  |   449.00	New	Choudhary Telecom. | Just Launched	Not fulfilled by Amazon
  499.00 | Prime : Yes |  |   499.00	New	God help telecom. | Just Launched	Not fulfilled by Amazon
  599.00 | Prime : No |  | Pay on Delivery eligible	New	DEAL & WIN | 4 out of 5 stars  | 77% positive | 320 total rating	Not fulfilled by Amazon | 5-7 days
  599.00 | Prime : No |  | Pay on Delivery eligible	New	Rexom | 4 out of 5 stars  | 75% positive | 4 total rating	Not fulfilled by Amazon | 5-7 days
  782.00 | Prime : Yes |  | Pay on Delivery eligible	New	SUKLO | 4.5 out of 5 stars  | 83% positive | 277 total rating	Fullfilled by Amazon
  699.00 | Prime : No |  | Pay on Delivery eligible	New	Best On Online | Just Launched	Not fulfilled by Amazon | 4-5 days
  899.00 | Prime : Yes |  | Pay on Delivery eligible	New	K.M.ENTERPRISES | 4 out of 5 stars  | 82% positive | 103 total rating	Not fulfilled by Amazon
  1,099.00 | Prime : No |  | Pay on Delivery eligible	New	SHREE RAM INFOTECH. | Just Launched	Not fulfilled by Amazon | 7-14 days
  499.00 | Prime : No |  | + Delivery charges may apply	New	MOBILES 24 | Just Launched	Not fulfilled by Amazon
