Price + Delivery	Condition	Seller Information	Delivery
  2,749.00 | Prime : No | FREE Delivery | Pay on Delivery eligible	New	Moon Retail Pvt Ltd | 3 out of 5 stars  | 58% positive. | 19 total rating	Not fulfilled by Amazon | 6-8 days
  2,791.00 | Prime : Yes | FREE Delivery | Pay on Delivery eligible	New	STATUS COMP | 4.5 out of 5 stars  | 88% positive | 176 total rating	Fullfilled by Amazon
  2,799.00 | Prime : Yes | FREE Delivery | Pay on Delivery eligible	New	ALL IT GADGETS | 4 out of 5 stars  | 82% positive | 498 total rating	Not fulfilled by Amazon
  2,999.00 | Prime : Yes | FREE Delivery | Pay on Delivery eligible	New	Independence offers_SLP | 4.5 out of 5 stars  | 88% positive. | 442 total rating	Fullfilled by Amazon
  2,999.00 | Prime : Yes | FREE Delivery | Pay on Delivery eligible	New	Dot Com Services | 4 out of 5 stars  | 74% positive | 695 total rating	Fullfilled by Amazon
  3,300.00 | Prime : Yes | FREE Delivery | Pay on Delivery eligible	New	Best in Tech | 4.5 out of 5 stars  | 94% positive. | 252 total rating	Fullfilled by Amazon
  3,300.00 | Prime : No | FREE Delivery | Pay on Delivery eligible	New	The Technology Touch | 4 out of 5 stars  | 73% positive | 60 total rating	Not fulfilled by Amazon | 6-8 days
  3,800.00 | Prime : Yes | FREE Delivery | Pay on Delivery eligible	New	AZHARI COLLECTION™ | 4.5 out of 5 stars  | 94% positive | 171 total rating	Not fulfilled by Amazon
  4,590.00 | Prime : No | FREE Delivery | Pay on Delivery eligible	New	AD MARKETING | Just Launched	Not fulfilled by Amazon | 6-8 days
  2,999.00 | Prime : No | FREE Delivery | + Delivery charges may apply	New	BEST BUY HYDERABAD AUTHORISED | 4.5 out of 5 stars  | 92% positive | 170 total rating	Not fulfilled by Amazon
