Price + Delivery	Condition	Seller Information	Delivery
  999.00 | Prime : Yes |  | Pay on Delivery eligible	New	Cannycom Store | 4.5 out of 5 stars  | 93% positive | 696 total rating	Fullfilled by Amazon
  1,259.00 | Prime : Yes |  | Pay on Delivery eligible	New	Appario Retail Private Ltd | 4.5 out of 5 stars  | 93% positive | 302,277 total rating	Fullfilled by Amazon
  1,429.00 | Prime : No |  | Pay on Delivery eligible	New	CAMERA ART & SUPPORTS | 3.5 out of 5 stars  | 65% positive | 39 total rating	Not fulfilled by Amazon | 5-7 days
  1,449.00 | Prime : No |  | +   50.00 Delivery	New	The Zone | 3 out of 5 stars  | 0% positive. | 1 ratin	Not fulfilled by Amazon | 4-9 days
  1,698.00 | Prime : No |  | Pay on Delivery eligible	New	CAMERA ART & SUPPORTS | 3.5 out of 5 stars  | 65% positive | 39 total rating	Not fulfilled by Amazon | 5-7 days
  1,800.00 | Prime : Yes |  | Pay on Delivery eligible	New	XANDZERO | 4.5 out of 5 stars  | 87% positive | 627 total rating	Fullfilled by Amazon
  1,899.00 | Prime : Yes |  | Pay on Delivery eligible	New	zenithtraders | 4.5 out of 5 stars  | 90% positive | 378 total rating	Fullfilled by Amazon
  1,975.00 | Prime : No |  | FREE Delivery.	New	ShopForBest | 4.5 out of 5 stars  | 86% positive. | 14 total rating	Not fulfilled by Amazon | 1-4 days
  2,177.00 | Prime : No |  | Pay on Delivery eligible	New	Classic Network and Computers | 4 out of 5 stars  | 83% positive | 1,925 total rating	Not fulfilled by Amazon | 5-7 days
  2,190.00 | Prime : No |  | FREE Delivery.	New	The-EStore | 4.5 out of 5 stars  | 83% positive | 154 total rating	Not fulfilled by Amazon | 1-4 days
  1,975.00 | Prime : Yes |  |   1,975.00	New	ShopForBest | 4.5 out of 5 stars  | 86% positive. | 14 total rating	Not fulfilled by Amazon
