Price + Delivery	Condition	Seller Information	Delivery
  599.00 | Prime : Yes |  | Pay on Delivery eligible	New	Appario Retail Private Ltd | 4.5 out of 5 stars  | 93% positive | 302,315 total rating	Fullfilled by Amazon
  599.00 | Prime : No |  | Pay on Delivery eligible	New	MAK_MART | 5 out of 5 stars  | 100% positive | 78 total rating	Not fulfilled by Amazon | 5-7 days
  695.00 | Prime : Yes |  | Pay on Delivery eligible	New	BUGSBUNNY | 2.5 out of 5 stars  | 31% positive | 25 total rating	Fullfilled by Amazon
  699.00 | Prime : Yes |  | Pay on Delivery eligible	New	Portronics Digital Pvt Ltd | 4.5 out of 5 stars  | 95% positive | 917 total rating	Fullfilled by Amazon
  749.00 | Prime : Yes |  | Pay on Delivery eligible	New	Electrolinks | 4 out of 5 stars  | 76% positive. | 29 total rating	Not fulfilled by Amazon
  799.00 | Prime : Yes |  | Pay on Delivery eligible	New	zenithtraders | 4.5 out of 5 stars  | 90% positive | 378 total rating	Fullfilled by Amazon
  950.00 | Prime : Yes |  | Pay on Delivery eligible	New	Classic Network and Computers | 4 out of 5 stars  | 83% positive | 1,925 total rating	Fullfilled by Amazon
  899.00 | Prime : No |  | Pay on Delivery eligible	New	jelly telecom | Just Launched	Not fulfilled by Amazon | 5-7 days
  999.00 | Prime : No |  | Pay on Delivery eligible	New	R K ENTERPRISE 1 | 3.5 out of 5 stars  | 67% positive | 27 total rating	Not fulfilled by Amazon | 5-7 days
  999.00 | Prime : No |  | Pay on Delivery eligible	New	Dhruvi M | 4.5 out of 5 stars  | 89% positive. | 9 total rating	Not fulfilled by Amazon | 5-7 days
  699.00 | Prime : No | FREE Delivery | Pay on Delivery eligible	New	Portronics Digital Pvt Ltd | 4.5 out of 5 stars  | 95% positive | 917 total rating	Not fulfilled by Amazon | 5-7 days
  950.00 | Prime : No | FREE Delivery | Pay on Delivery eligible	New	Classic Network and Computers | 4 out of 5 stars  | 83% positive | 1,925 total rating	Not fulfilled by Amazon | 5-7 days
