Price + Delivery	Condition	Seller Information	Delivery
  1,298.00 | Prime : Yes |  | Pay on Delivery eligible	New	Appario Retail Private Ltd | 4.5 out of 5 stars  | 93% positive | 302,277 total rating	Fullfilled by Amazon
  1,309.00 | Prime : Yes |  | Pay on Delivery eligible	New	Electrolinks | 4 out of 5 stars  | 76% positive. | 29 total rating	Not fulfilled by Amazon
  1,399.00 | Prime : No |  | Pay on Delivery eligible	New	Portronics Digital Pvt Ltd | 4.5 out of 5 stars  | 95% positive | 917 total rating	Not fulfilled by Amazon | 5-7 days
  1,499.00 | Prime : Yes |  | Pay on Delivery eligible	New	OMNI RETAIL | 4.5 out of 5 stars  | 84% positive | 229 total rating	Fullfilled by Amazon
  1,590.00 | Prime : No |  | Pay on Delivery eligible	New	House Of Electronics | 4 out of 5 stars  | 79% positive | 23 total rating	Not fulfilled by Amazon | 5-7 days
  1,599.00 | Prime : Yes |  | Pay on Delivery eligible	New	thevaluestore | 5 out of 5 stars  | 100% positive | 200 total rating	Not fulfilled by Amazon
  1,600.00 | Prime : Yes |  | Pay on Delivery eligible	New	adyant enterprises | Just Launched	Fullfilled by Amazon
  1,590.00 | Prime : No |  | Pay on Delivery eligible	New	zenithtraders | 4.5 out of 5 stars  | 90% positive | 378 total rating	Not fulfilled by Amazon | 5-7 days
  1,947.00 | Prime : Yes |  | Pay on Delivery eligible	New	Krazzy Deal | 3.5 out of 5 stars  | 63% positive | 20 total rating	Not fulfilled by Amazon
  1,990.00 | Prime : No |  | FREE Delivery.	New	The-EStore | 4.5 out of 5 stars  | 83% positive | 154 total rating	Not fulfilled by Amazon | 1-4 days
  1,899.00 | Prime : No | +   150 | Pay on Delivery eligible	New	Dhruvi M | 4.5 out of 5 stars  | 89% positive. | 9 total rating	Not fulfilled by Amazon | 5-7 days
