Price + Delivery	Condition	Seller Information	Delivery
  1,074.00 | Prime : No | FREE Delivery | Pay on Delivery eligible	New	EzioInc78 | 4 out of 5 stars  | 83% positive | 154 total rating	Not fulfilled by Amazon
  1,079.00 | Prime : Yes | FREE Delivery | Pay on Delivery eligible	New	Appario Retail Private Ltd | 4.5 out of 5 stars  | 93% positive | 302,375 total rating	Fullfilled by Amazon
  1,088.00 | Prime : Yes | FREE Delivery | Pay on Delivery eligible	New	CloudNine India | 4.5 out of 5 stars  | 92% positive | 1,205 total rating	Fullfilled by Amazon
  1,098.00 | Prime : Yes | FREE Delivery | Pay on Delivery eligible	New	ecomstars | 4 out of 5 stars  | 82% positive | 2,859 total rating	Fullfilled by Amazon
  1,075.00 | Prime : No | FREE Delivery | Pay on Delivery eligible	New	GO WIRELESS | Just Launched	Not fulfilled by Amazon | 2-3 days
  1,049.00 | Prime : No | FREE Delivery | Pay on Delivery eligible	New	amarvagroup | 4.5 out of 5 stars  | 89% positive | 467 total rating	Not fulfilled by Amazon
  1,152.00 | Prime : Yes | FREE Delivery | Pay on Delivery eligible	New	Shoptoz dot com | 3.5 out of 5 stars  | 71% positive | 75 total rating	Fullfilled by Amazon
  1,197.00 | Prime : Yes | FREE Delivery | Pay on Delivery eligible	New	FotoCart dot in | 4.5 out of 5 stars  | 86% positive | 398 total rating	Fullfilled by Amazon
  1,225.00 | Prime : No | FREE Delivery | Pay on Delivery eligible	New	Cloudtrade | 4 out of 5 stars  | 84% positive | 235 total rating	Not fulfilled by Amazon | 6-7 days
  1,249.00 | Prime : No | FREE Delivery | Pay on Delivery eligible	New	click.n.save | 4.5 out of 5 stars  | 81% positive | 773 total rating	Not fulfilled by Amazon | 6-7 days
  1,186.00 | Prime : No | +   78 | Pay on Delivery eligible	New	eTechnology | 1.5 out of 5 stars  | 7% positive. | 102 total rating	Not fulfilled by Amazon
  1,188.00 | Prime : No | +   78 | Pay on Delivery eligible	New	EXECLUSIVE STORE | 4 out of 5 stars  | 81% positive. | 31 total rating	Not fulfilled by Amazon
  1,299.00 | Prime : No | +   78 | Pay on Delivery eligible	New	Ondots | 3 out of 5 stars  | 54% positive | 92 total rating	Not fulfilled by Amazon
  1,309.00 | Prime : No | +   78 | Pay on Delivery eligible	New	MSAssured | 3 out of 5 stars  | 54% positive | 23 total rating	Not fulfilled by Amazon | 4-6 days
  1,400.00 | Prime : No | +   78 | Pay on Delivery eligible	New	M&F Mobile Hut | Just Launched	Not fulfilled by Amazon | 6-8 days
  1,999.00 | Prime : No | +   78 | Pay on Delivery eligible	New	Sachin Mobile 01 | Just Launched	Not fulfilled by Amazon | 13-14 days
  1,030.00 | Prime : No | +   78 | + Delivery charges may apply	New	Blue Calyx Mobiles | Just Launched	Not fulfilled by Amazon
