Price + Delivery	Condition	Seller Information	Delivery
  1,079.00 | Prime : Yes |  | Pay on Delivery eligible	New	Appario Retail Private Ltd | 4.5 out of 5 stars  | 93% positive | 302,375 total rating	Fullfilled by Amazon
  1,109.00 | Prime : Yes |  | Pay on Delivery eligible	New	WEB-TAIL | 4 out of 5 stars  | 83% positive | 8,106 total rating	Fullfilled by Amazon
  1,115.00 | Prime : Yes |  | Pay on Delivery eligible	New	Online Electro Mart | 3 out of 5 stars  | 57% positive | 7 total rating	Fullfilled by Amazon
  1,050.00 | Prime : No |  | Pay on Delivery eligible	New	THE GADGET HUB | Just Launched	Not fulfilled by Amazon
  1,143.00 | Prime : Yes |  | Pay on Delivery eligible	New	Shoptoz dot com | 3.5 out of 5 stars  | 71% positive | 75 total rating	Fullfilled by Amazon
  1,225.00 | Prime : No |  | Pay on Delivery eligible	New	DealoKart | Just Launched	Not fulfilled by Amazon
  1,225.00 | Prime : No |  | Pay on Delivery eligible	New	Cloudtrade | 4 out of 5 stars  | 84% positive | 235 total rating	Not fulfilled by Amazon | 6-7 days
  1,249.00 | Prime : No |  | Pay on Delivery eligible	New	click.n.save | 4.5 out of 5 stars  | 81% positive | 773 total rating	Not fulfilled by Amazon | 6-7 days
  1,196.00 | Prime : No |  | Pay on Delivery eligible	New	eTechnology | 1.5 out of 5 stars  | 7% positive. | 102 total rating	Not fulfilled by Amazon
  1,299.00 | Prime : Yes |  |   1,299.00	New	Maya electronics showroom | Just Launched	Not fulfilled by Amazon
  1,390.00 | Prime : No | FREE Delivery | Pay on Delivery eligible	New	Durga music | Just Launched	Not fulfilled by Amazon | 6-7 days
  1,384.00 | Prime : No | FREE Delivery | Pay on Delivery eligible	New	MSAssured | 3 out of 5 stars  | 54% positive | 23 total rating	Not fulfilled by Amazon | 4-6 days
  1,499.00 | Prime : No | FREE Delivery | Pay on Delivery eligible	New	LUCKY DIGITAL CAFE | Just Launched	Not fulfilled by Amazon
  1,999.00 | Prime : No | FREE Delivery | Pay on Delivery eligible	New	Sachin Mobile 01 | Just Launched	Not fulfilled by Amazon | 13-14 days
  1,135.00 | Prime : No | FREE Delivery | + Delivery charges may apply	New	Blue Calyx Mobiles | Just Launched	Not fulfilled by Amazon
