Price + Delivery	Condition	Seller Information	Delivery
  1,113.00 | Prime : Yes |  | Pay on Delivery eligible	New	Appario Retail Private Ltd | 4.5 out of 5 stars  | 93% positive | 302,277 total rating	Fullfilled by Amazon
  1,199.00 | Prime : Yes |  | Pay on Delivery eligible	New	EsyShop | 3.5 out of 5 stars  | 72% positive | 217 total rating	Not fulfilled by Amazon
  1,250.00 | Prime : Yes |  | Pay on Delivery eligible	New	Shoptoz dot com | 3.5 out of 5 stars  | 71% positive | 75 total rating	Fullfilled by Amazon
  1,250.00 | Prime : No |  | Pay on Delivery eligible	New	Pankaj Electricals | 3.5 out of 5 stars  | 57% positive. | 211 total rating	Not fulfilled by Amazon | 5-7 days
  1,260.00 | Prime : No |  | Pay on Delivery eligible	New	Pandey Mobile & Accessories | Just Launched	Not fulfilled by Amazon
  1,499.00 | Prime : No |  | Pay on Delivery eligible	New	UniqueClick | 4 out of 5 stars  | 81% positive | 2,193 total rating	Fullfilled by Amazon
  1,598.00 | Prime : No |  | Pay on Delivery eligible	New	Applon | 4.5 out of 5 stars  | 89% positive | 44 total rating	Not fulfilled by Amazon | 5-7 days
  1,599.00 | Prime : No |  | Pay on Delivery eligible	New	Ondots | 3 out of 5 stars  | 54% positive | 92 total rating	Not fulfilled by Amazon | 5-7 days
  2,499.00 | Prime : No |  | Pay on Delivery eligible	New	Cloudtrade | 4 out of 5 stars  | 84% positive | 235 total rating	Not fulfilled by Amazon
  2,499.00 | Prime : No |  | Pay on Delivery eligible	New	FTCPL Exclusive Online ® | 4.5 out of 5 stars  | 93% positive | 45 total rating	Not fulfilled by Amazon | 7-8 days
  1,675.00 | Prime : Yes |  | Pay on Delivery eligible	New	Ondots | 3 out of 5 stars  | 54% positive | 92 total rating	Fullfilled by Amazon
