Price + Delivery	Condition	Seller Information	Delivery
  999.00 | Prime : Yes |  | Pay on Delivery eligible	New	Cannycom Store | 4.5 out of 5 stars  | 93% positive | 696 total rating	Fullfilled by Amazon
  999.00 | Prime : Yes |  | Pay on Delivery eligible	New	Portronics Digital Pvt Ltd | 4.5 out of 5 stars  | 95% positive | 917 total rating	Fullfilled by Amazon
  999.00 | Prime : No |  | Pay on Delivery eligible	New	Portronics Digital Pvt Ltd | 4.5 out of 5 stars  | 95% positive | 917 total rating	Not fulfilled by Amazon | 4-6 days
  1,389.00 | Prime : Yes |  | Pay on Delivery eligible	New	Electrolinks | 4 out of 5 stars  | 76% positive. | 29 total rating	Not fulfilled by Amazon
  1,418.00 | Prime : No |  | Pay on Delivery eligible	New	House Of Electronics | 4 out of 5 stars  | 79% positive | 23 total rating	Not fulfilled by Amazon | 4-6 days
  1,465.00 | Prime : Yes |  | Pay on Delivery eligible	New	Krazzy Deal | 3.5 out of 5 stars  | 63% positive | 20 total rating	Not fulfilled by Amazon
  1,399.00 | Prime : No |  | Pay on Delivery eligible	New	MAK_MART | 5 out of 5 stars  | 100% positive | 78 total rating	Not fulfilled by Amazon | 4-6 days
  1,699.00 | Prime : Yes |  | Pay on Delivery eligible	New	XANDZERO | 4.5 out of 5 stars  | 87% positive | 628 total rating	Fullfilled by Amazon
  1,699.00 | Prime : No |  | Pay on Delivery eligible	New	GXGW | 3 out of 5 stars  | 44% positive. | 9 total rating	Not fulfilled by Amazon
  1,799.00 | Prime : Yes |  | Pay on Delivery eligible	New	Classic Network and Computers | 4 out of 5 stars  | 83% positive | 1,925 total rating	Fullfilled by Amazon
  1,799.00 | Prime : No | FREE Delivery | Pay on Delivery eligible	New	Classic Network and Computers | 4 out of 5 stars  | 83% positive | 1,925 total rating	Not fulfilled by Amazon | 4-6 days
