Price + Delivery	Condition	Seller Information	Delivery
  2,089.00 | Prime : Yes |  | Pay on Delivery eligible	New	OMNI RETAIL | 4.5 out of 5 stars  | 84% positive | 228 total rating	Fullfilled by Amazon
  2,089.00 | Prime : Yes |  | Pay on Delivery eligible	New	Electric Nation | 4.5 out of 5 stars  | 98% positive | 476 total rating	Fullfilled by Amazon
  2,089.00 | Prime : Yes |  | Pay on Delivery eligible	New	Appario Retail Private Ltd | 4.5 out of 5 stars  | 93% positive | 302,185 total rating	Fullfilled by Amazon
  2,145.00 | Prime : Yes |  | Pay on Delivery eligible	New	Krazzy Deal | 3.5 out of 5 stars  | 63% positive | 20 total rating	Not fulfilled by Amazon
  2,149.00 | Prime : Yes |  | Pay on Delivery eligible	New	Special Deals | 3.5 out of 5 stars  | 74% positive | 31 total rating	Fullfilled by Amazon
  2,190.00 | Prime : No |  | Pay on Delivery eligible	New	Discount_Store_ | 4.5 out of 5 stars  | 90% positive | 71 total rating	Not fulfilled by Amazon
  2,250.00 | Prime : Yes |  | Pay on Delivery eligible	New	Digital Xpert | 5 out of 5 stars  | 97% positive | 1,034 total rating	Fullfilled by Amazon
  2,250.00 | Prime : Yes |  | Pay on Delivery eligible	New	True Accessories | 4.5 out of 5 stars  | 91% positive. | 196 total rating	Fullfilled by Amazon
  2,290.00 | Prime : Yes |  | Pay on Delivery eligible	New	RADIO & GRAMOPHONE HOUSE | 4.5 out of 5 stars  | 83% positive | 742 total rating	Not fulfilled by Amazon
  2,365.00 | Prime : Yes |  | Pay on Delivery eligible	New	Best in Tech | 4.5 out of 5 stars  | 94% positive. | 252 total rating	Fullfilled by Amazon
  2,490.00 | Prime : Yes |  | Pay on Delivery eligible	New	CIRCUIT BOARD | 5 out of 5 stars  | 100% positive | 1,772 total rating	Fullfilled by Amazon
  2,190.00 | Prime : No |  | + Delivery charges may apply	New	Sri balaji fashion | 1.5 out of 5 stars  | 0% positive. | 3 total rating	Not fulfilled by Amazon
  2,490.00 | Prime : No |  | + Delivery charges may apply	New	Sri balaji fashion | 1.5 out of 5 stars  | 0% positive. | 3 total rating	Not fulfilled by Amazon
