Price + Delivery	Condition	Seller Information	Delivery
  1,699.00 | Prime : Yes |  | Pay on Delivery eligible	New	Appario Retail Private Ltd | 4.5 out of 5 stars  | 93% positive | 302,275 total rating	Fullfilled by Amazon
  1,749.00 | Prime : Yes |  | Pay on Delivery eligible	New	Electrolinks | 4 out of 5 stars  | 76% positive. | 29 total rating	Not fulfilled by Amazon
  1,798.00 | Prime : Yes |  | Pay on Delivery eligible	New	House Of Electronics | 4 out of 5 stars  | 79% positive | 23 total rating	Fullfilled by Amazon
  1,898.00 | Prime : Yes |  | Pay on Delivery eligible	New	Krazzy Deal | 3.5 out of 5 stars  | 63% positive | 20 total rating	Not fulfilled by Amazon
  1,899.00 | Prime : Yes |  | Pay on Delivery eligible	New	thevaluestore | 5 out of 5 stars  | 100% positive | 200 total rating	Not fulfilled by Amazon
  1,999.00 | Prime : No |  | Pay on Delivery eligible	New	R K ENTERPRISE 1 | 3.5 out of 5 stars  | 67% positive | 27 total rating	Not fulfilled by Amazon | 12-14 days
  2,122.00 | Prime : No |  | Pay on Delivery eligible	New	CAMERA ART & SUPPORTS | 3.5 out of 5 stars  | 65% positive | 39 total rating	Not fulfilled by Amazon | 11-12 days
  2,091.00 | Prime : No |  | Pay on Delivery eligible	New	M 7 e TRADERS | 4.5 out of 5 stars  | 100% positive. | 6 total rating	Not fulfilled by Amazon | 11-12 days
  2,470.00 | Prime : No |  | FREE Delivery.	New	The-EStore | 4.5 out of 5 stars  | 83% positive | 154 total rating	Not fulfilled by Amazon | 1-4 days
  2,490.00 | Prime : No |  | FREE Delivery.	New	Njoy-Buying | 3.5 out of 5 stars  | 73% positive | 30 total rating	Not fulfilled by Amazon | 4-9 days
  2,499.00 | Prime : No | +   65 | Pay on Delivery eligible	New	jelly telecom | Just Launched	Not fulfilled by Amazon | 12-14 days
