Price + Delivery	Condition	Seller Information	Delivery
  1,569.00 | Prime : Yes |  | Pay on Delivery eligible	New	ESTOKE | 4.5 out of 5 stars  | 94% positive | 17 total rating	Fullfilled by Amazon
  1,624.00 | Prime : Yes |  | Pay on Delivery eligible	New	Appario Retail Private Ltd | 4.5 out of 5 stars  | 93% positive | 302,381 total rating	Fullfilled by Amazon
  1,680.00 | Prime : No |  | Pay on Delivery eligible	New	Aalika Zone | 4.5 out of 5 stars  | 90% positive. | 176 total rating	Not fulfilled by Amazon
  1,626.00 | Prime : No |  | Pay on Delivery eligible	New	Samrat international | 4.5 out of 5 stars  | 86% positive | 7 total rating	Not fulfilled by Amazon | 11-13 days
  1,690.00 | Prime : No |  | Pay on Delivery eligible	New	Go_wireless | 4 out of 5 stars  | 79% positive | 14 total rating	Not fulfilled by Amazon | 11-13 days
  1,774.00 | Prime : No |  | Pay on Delivery eligible	New	UniqueClick | 4 out of 5 stars  | 80% positive | 2,193 total rating	Fullfilled by Amazon
  1,775.00 | Prime : Yes |  | Pay on Delivery eligible	New	Shop On | 4.5 out of 5 stars  | 92% positive. | 234 total rating	Fullfilled by Amazon
  1,790.00 | Prime : Yes |  | Pay on Delivery eligible	New	SIVA DURGA | Just Launched	Fullfilled by Amazon
  1,799.00 | Prime : Yes |  | Pay on Delivery eligible	New	Online Super Market | Just Launched	Fullfilled by Amazon
  1,799.00 | Prime : No |  | Pay on Delivery eligible	New	skylark infotech | 1 out of 5 stars  | 0% positive | 1 total rating	Not fulfilled by Amazon | 11-13 days
  1,803.00 | Prime : No | +   66 | Pay on Delivery eligible	New	MSAssured | 3 out of 5 stars  | 54% positive | 23 total rating	Not fulfilled by Amazon | 13-14 days
  1,799.00 | Prime : No | +   66 | Pay on Delivery eligible	New	FTCPL Exclusive Online ® | 4.5 out of 5 stars  | 93% positive | 45 total rating	Not fulfilled by Amazon | 15-16 days
  1,899.00 | Prime : No | +   66 | Pay on Delivery eligible	New	Jaikara Enterprises. | Just Launched	Not fulfilled by Amazon
  1,999.00 | Prime : No | +   66 | Pay on Delivery eligible	New	Cloudtrade | 4 out of 5 stars  | 84% positive | 235 total rating	Not fulfilled by Amazon | 13-14 days
  1,999.00 | Prime : No | +   66 | Pay on Delivery eligible	New	click.n.save | 4.5 out of 5 stars  | 81% positive | 773 total rating	Not fulfilled by Amazon | 14-15 days
  2,199.00 | Prime : Yes | +   66 | Pay on Delivery eligible	New	VVC SALES PUNE | 3.5 out of 5 stars  | 65% positive | 135 total rating	Fullfilled by Amazon
  2,200.00 | Prime : No | +   66 | Pay on Delivery eligible	New	TOP1MOBILES | Just Launched	Not fulfilled by Amazon
