Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Extender	890.00	201		50.0	1.0595	4.5	90%	1	0	1
Digitaly yours	890.00	36		50.0	1.0595	3	53%	1	0	0
RADIO & GRAMOPHONE HOUSE	890.00	742		50.0	1.0595	4.5	83%	0	0	0
ASK JAN ENT	840.00			0.0	1.0			0	0	0
Express Deal	930.00	634		90.0	1.1071	5	98%	1	0	0
CIRCUIT BOARD	930.00	1,772		90.0	1.1071	5	100%	1	0	0
DEALS AMAZING	987.00	1,250		147.0	1.175	4	82%	1	0	0
True Accessories	989.00	196		149.0	1.1774	4.5	91%	1	0	0
Comet Busters®	990.00	325		150.0	1.1786	4.5	94%	1	0	0
Digital Xpert	990.00	1,034		150.0	1.1786	5	97%	1	0	0
GXGW	999.99	9		159.99	1.1905	3	44%	0	0	0
