Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Easy Home Deals	3764.00	286		0.0	1.0	4	82%	1	0	0
JnY Entertainment	3764.00	455		0.0	1.0	5	99%	1	0	0
Kharidiye dot com	3764.00	8,320		0.0	1.0	4.5	85%	1	0	1
CLICKBUY	3764.00	959		0.0	1.0	4.5	88%	1	0	0
YahOoO	3765.00	108		1.0	1.0003	4	92%	1	0	0
Appario Retail Private Ltd	3779.00	302,181		15.0	1.004	4.5	93%	1	1	0
NAYA GADGET	3779.00	22	11-16 days	15.0	1.004	4	80%	0	0	0
WEB-TAIL	3786.00	8,105		22.0	1.0058	4	83%	1	0	0
Paradise Musicals	3889.00	134		125.0	1.0332	5	96%	1	0	0
ACCESS	3945.00	104	6-8 days	181.0	1.0481	4	70%	0	0	0
NSSC	3968.00	18		204.0	1.0542	4.5	94%	1	0	0
Starone Electronics	3975.00	26	6-8 days	211.0	1.0561	4.5	92%	0	0	0
SOUND MASTERS	3999.00	334		235.0	1.0624	5	100%	1	0	0
Audio Borealis	6299.00		6-8 days	2535.0	1.6735			0	0	0
MAY Store	6678.00	1,287	11-18 days	2914.0	1.7742	4	74%	0	0	0
AST Japan	10893.51	260	17-25 days	7129.51	2.8941	4.5	92%	0	0	0
G G	13548.00	4,506	11-19 days	9784.0	3.5994	4.5	87%	0	0	0
