Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
CLICKBUY	2859.00	959		0.0	1.0	4.5	88%	1	0	1
Easy Home Deals	2859.00	286		0.0	1.0	4	82%	1	0	0
JnY Entertainment	2859.00	455		0.0	1.0	5	99%	1	0	0
Appario Retail Private Ltd	2869.00	302,181		10.0	1.0035	4.5	93%	1	1	0
NAYA GADGET	2869.00	22	6-8 days	10.0	1.0035	4	80%	0	0	0
WEB-TAIL	2876.00	8,105		17.0	1.0059	4	83%	1	0	0
SOUND MASTERS	2999.00	334		140.0	1.049	5	100%	1	0	0
Starone Electronics	2999.00	26	6-8 days	140.0	1.049	4.5	92%	0	0	0
Paradise Musicals	3999.00	134		1140.0	1.3987	5	96%	1	0	0
Audio Borealis	4499.00		6-8 days	1640.0	1.5736			0	0	0
Peach Imports	4999.00	498	13-20 days	2140.0	1.7485	4.5	84%	0	0	0
AST Japan	7598.94	260	17-25 days	4739.94	2.6579	4.5	92%	0	0	0
G G	10003.00	4,506	11-19 days	7144.0	3.4988	4.5	87%	0	0	0
Cart2India SLP	10578.00	1,334	11-19 days	7719.0	3.6999	3	53%	0	0	0
