Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
DOOR STEP ONLINE	287.00		4-6 days	0.0	1.0			0	0	0
Umath Store India	288.00	120		1.0	1.0035	4	65%	1	0	0
Appario Retail Private Ltd	289.00	302,362		2.0	1.007	4.5	93%	1	1	1
E-SQUARE	337.00	2,792		50.0	1.1742	4.5	92%	1	0	0
Snapzone India	340.00	67		53.0	1.1847	4.5	82%	1	0	0
The Grooming Store	340.00	434		53.0	1.1847	5	97%	1	0	0
GrabAGadget	340.00	5,221		53.0	1.1847	4	84%	1	0	0
Pixels Trading	345.00	8	4-6 days	58.0	1.2021	3.5	75%	0	0	0
ELECTRO KART	349.00	76		62.0	1.216	2.5	40%	0	0	0
Sit N Shop	350.00	75		63.0	1.2195	3.5	64%	1	0	0
JPB BROTHERS	385.00	92		98.0	1.3415	4.5	98%	1	0	0
R S Trade	395.00	352		108.0	1.3763	4.5	94%	1	0	0
Resonance world	399.00	350		112.0	1.3902	4.5	89%	1	0	0
BL Enterprises	399.00	104	4-6 days	112.0	1.3902	3.5	67%	0	0	0
KadakMerch	410.00	6	7-10 days	123.0	1.4286	3.5	67%	0	0	0
Technogazet	399.00	1,799		112.0	1.3902	4.5	93%	0	0	0
LVDV	429.00	5		142.0	1.4948	4.5	80%	0	0	0
