Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	5645.00	302,150		0.0	1.0	4.5	93%	1	1	1
CLICKBUY	5645.00	959		0.0	1.0	4.5	88%	1	0	0
M/S PRABH ENTERPRISES	5645.00	1		0.0	1.0	5	100%	0	0	0
ALL IT GADGETS	5670.00	498		25.0	1.0044	4	82%	0	0	0
BestBuy Shoppe	5799.00	726		154.0	1.0273	4.5	96%	1	0	0
itglobal	5849.00	602		204.0	1.0361	4.5	89%	1	0	0
Special Deals	5899.00	31		254.0	1.045	3.5	74%	1	0	0
Quarter Mile	6199.00	2		554.0	1.0981	5	100%	1	0	0
FOSCOUS	6199.00	126		554.0	1.0981	4.5	100%	1	0	0
Krazzy Deal	6699.00	20		1054.0	1.1867	3.5	63%	0	0	0
Best in Tech	6835.00	252		1190.0	1.2108	4.5	94%	1	0	0
Great Indian Sale	7299.00	287		1654.0	1.293	3.5	62%	0	0	0
Electric Nation	7490.00	476		1845.0	1.3268	4.5	98%	1	0	0
Cart2India SLP	11707.00	1,333	11-19 days	6062.0	2.0739	3	53%	0	0	0
Sri balaji fashion	7490.00	3		1845.0	1.3268	1.5	0%	0	0	0
