Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Cannycom Store	677.00	696		0.0	1.0	4.5	93%	1	0	1
ESTOKE	679.00	16		2.0	1.003	4.5	94%	1	0	0
KEI HiFi	680.00	115		3.0	1.0044	3.5	67%	1	0	0
Cannycom Store	677.00	696	6-8 days	0.0	1.0	4.5	93%	0	0	1
Celestial Retail	999.00	16		322.0	1.4756	4.5	88%	1	0	0
UniqueClick	1000.00	2,193		323.0	1.4771	4	81%	1	0	0
Online India	1029.00	4,358		352.0	1.5199	3.5	67%	1	0	0
Theatre People	1039.00			362.0	1.5347			0	0	0
GAJ IT SOLUTIONS	1000.00	3		323.0	1.4771	2.5	33%	0	0	0
Khushi NX	1140.00	19	5-6 days	463.0	1.6839	4	79%	0	0	0
