Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Cannycom Store	976.00	696		0.0	1.0	4.5	93%	1	0	0
UniqueClick	976.00	2,193		0.0	1.0	4	81%	1	0	0
KOP TECHNOS	977.00	623		1.0	1.001	4.5	83%	1	0	0
Bhavya Mobile	980.00	91		4.0	1.0041	3	53%	1	0	0
CLICKBUY	981.00	959		5.0	1.0051	4.5	88%	1	0	0
Appario Retail Private Ltd	989.00	302,365		13.0	1.0133	4.5	93%	1	1	1
e-STORES	999.00	577		23.0	1.0236	4	74%	1	0	0
ACE E-Tail	999.00	880		23.0	1.0236	4.5	92%	1	0	0
Stonehenge Retail	999.00	165		23.0	1.0236	4.5	89%	1	0	0
e9accessories	1090.00	9,671		114.0	1.1168	4.5	92%	1	0	0
e-STORES	999.00	577	4-6 days	23.0	1.0236	4	74%	0	0	0
