Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	5694.00	302,149		0.0	1.0	4.5	93%	1	1	1
KREATIVE INDIA	5695.00	5		1.0	1.0002	4	60%	1	0	0
BUYMORESAVEMORE	5697.00	3		3.0	1.0005	5	100%	1	0	0
OMNI RETAIL	5999.00	228		305.0	1.0536	4.5	84%	1	0	0
Raj Musicals India	6741.00	123		1047.0	1.1839	4.5	85%	1	0	0
Online Boss	6890.00	124		1196.0	1.21	4.5	87%	0	0	0
CLICKBUY	6990.00	959		1296.0	1.2276	4.5	88%	1	0	0
SOUND MASTERS	7490.00	334		1796.0	1.3154	5	100%	1	0	0
Extender	7490.00	201		1796.0	1.3154	4.5	90%	1	0	0
on the web	7490.00	10,867		1796.0	1.3154	4	82%	1	0	0
Shyam Tech	7490.00	1,406		1796.0	1.3154	4.5	94%	1	0	0
