Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Brand Authorized Sales	2310.00	219		0.0	1.0	4.5	92%	1	0	0
Appario Retail Private Ltd	2500.00	302,155		190.0	1.0823	4.5	93%	1	1	1
Dot Com Services	2527.00	695		217.0	1.0939	4	74%	1	0	0
Ur Trust	2599.00	3		289.0	1.1251	3.5	67%	1	0	0
Special Deals	2599.00	31		289.0	1.1251	3.5	74%	1	0	0
CIRCUIT BOARD	2790.00	1,772		480.0	1.2078	5	100%	1	0	0
Discount_Store_	2990.00	71		680.0	1.2944	4.5	90%	0	0	0
Technogazet	2999.00	1,798		689.0	1.2983	4.5	93%	0	0	0
DEALS AMAZING	3290.00	1,250		980.0	1.4242	4	83%	1	0	0
The-EStore	3490.00	154	2-5 days	1180.0	1.5108	4.5	83%	0	0	0
