Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	1999.00	302,239		0.0	1.0	4.5	93%	1	1	1
Special Deals	2248.00	31		249.0	1.1246	3.5	74%	1	0	0
Sky Sales	2249.00	9		250.0	1.1251	5	100%	1	0	0
camnaccstore	2276.00	611		277.0	1.1386	4	77%	1	0	0
Electric-Deals	2290.00	1,303		291.0	1.1456	4.5	94%	1	0	0
Best in Tech	2299.00	252		300.0	1.1501	4.5	94%	1	0	0
Krazzy Deal	2388.00	20		389.0	1.1946	3.5	63%	0	0	0
Digital Xpert	2390.00	1,034	9-10 days	391.0	1.1956	5	97%	0	0	0
CIRCUIT BOARD	2490.00	1,772		491.0	1.2456	5	100%	1	0	0
The-EStore	2590.00	154	1-4 days	591.0	1.2956	4.5	83%	0	0	0
