Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Xtreme Focus	1120.00	452	5-7 days	0.0	1.0	4.5	95%	0	0	0
Appario Retail Private Ltd	1147.00	302,275		27.0	1.0241	4.5	93%	1	1	1
AARAV EMART	1148.00	19		28.0	1.025	4	79%	1	0	0
CELLULARINDIAINC	1160.00	136	5-7 days	40.0	1.0357	4	76%	0	0	0
Extender	1190.00	201		70.0	1.0625	4.5	90%	1	0	0
CIRCUIT BOARD	1190.00	1,772		70.0	1.0625	5	100%	1	0	0
Digitaly yours	1190.00	36		70.0	1.0625	3	53%	1	0	0
Electric-Deals	1230.00	1,303		110.0	1.0982	4.5	94%	1	0	0
DIGI POINT	1235.00	183		115.0	1.1027	4.5	88%	0	0	0
Digital Xpert	1290.00	1,034		170.0	1.1518	5	97%	1	0	0
Digitaly yours	1290.00	36		170.0	1.1518	3	53%	1	0	0
Digital Xpert	1290.00	1,034		170.0	1.1518	5	97%	0	0	0
EasyShoppe	1220.00	18	5-7 days	100.0	1.0893	3.5	67%	0	0	0
