Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
OMNI RETAIL	1077.00	229		0.0	1.0	4.5	84%	1	0	1
Appario Retail Private Ltd	1078.00	302,340		1.0	1.0009	4.5	93%	1	1	0
Extender	1190.00	201		113.0	1.1049	4.5	90%	1	0	0
raju electronicss	1099.00	2	7-8 days	22.0	1.0204	1	0%	0	0	0
Digitaly yours	1199.00	36		122.0	1.1133	3	53%	1	0	0
CELLULARINDIAINC	1200.00	136	4-6 days	123.0	1.1142	4	76%	0	0	0
Sky Sales	1249.00	9		172.0	1.1597	5	100%	1	0	0
Electric-Deals	1249.00	1,303		172.0	1.1597	4.5	94%	1	0	0
CIRCUIT BOARD	1250.00	1,772		173.0	1.1606	5	100%	1	0	0
CD Plaza	1249.00	3	4-6 days	172.0	1.1597	4.5	67%	0	0	0
EasyShoppe	1220.00	18	4-6 days	143.0	1.1328	3.5	67%	0	0	0
