Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
KIDA Retail Private Ltd	3460.00	15,527		0.0	1.0	4	84%	1	0	1
GoodLuck Shoppie	3460.00	341		0.0	1.0	4	83%	1	0	0
Quarter Mile	3460.00	2		0.0	1.0	5	100%	1	0	0
Electric Nation	3470.00	476		10.0	1.0029	4.5	98%	1	0	0
DEALS AMAZING	3485.00	1,250		25.0	1.0072	4	83%	1	0	0
Digitaly yours	3490.00	36		30.0	1.0087	3	53%	1	0	0
Discount_Store_	3590.00	71		130.0	1.0376	4.5	90%	0	0	0
CIRCUIT BOARD	3790.00	1,772		330.0	1.0954	5	100%	1	0	0
R S Trade	3795.00	351		335.0	1.0968	4.5	94%	1	0	0
Peach Imports	9499.00	498	12-19 days	6039.0	2.7454	4.5	84%	0	0	0
Sri balaji fashion	3790.00	3		330.0	1.0954	1.5	0%	0	0	0
