Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Digital Xpert	3550.00	1,034		0.0	1.0	5	97%	1	0	1
Best in Tech	3575.00	252		25.0	1.007	4.5	94%	1	0	0
Discount_Store_	3690.00	71		140.0	1.0394	4.5	90%	0	0	0
CIRCUIT BOARD	3790.00	1,772		240.0	1.0676	5	100%	1	0	0
R S Trade	3795.00	352		245.0	1.069	4.5	94%	1	0	0
Flexy Zone	3795.00	83		245.0	1.069	4.5	86%	0	0	0
Comet Busters®	3890.00	325		340.0	1.0958	4.5	94%	1	0	0
Krazzy Deal	3890.00	20		340.0	1.0958	3.5	63%	0	0	0
M/S COMPU WORLD	3990.00	151	5-7 days	440.0	1.1239	3.5	68%	0	0	0
Peach Imports	7999.00	498	12-19 days	4449.0	2.2532	4.5	84%	0	0	0
