Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	3199.00	302,200		0.0	1.0	4.5	93%	1	1	1
CLICKBUY	3399.00	959		200.0	1.0625	4.5	88%	1	0	0
Special Deals	3399.00	31		200.0	1.0625	3.5	74%	1	0	0
CIRCUIT BOARD	3490.00	1,772		291.0	1.091	5	100%	1	0	0
Express Deal	3499.00	634		300.0	1.0938	5	98%	1	0	0
Best in Tech	3575.00	252		376.0	1.1175	4.5	94%	1	0	0
Discount_Store_	3590.00	71		391.0	1.1222	4.5	90%	0	0	0
The-EStore	3590.00	154	2-5 days	391.0	1.1222	4.5	83%	0	0	0
R S Trade	3795.00	351		596.0	1.1863	4.5	94%	1	0	0
Ezone Collections	3987.00	17		788.0	1.2463	4.5	81%	0	0	0
Comet Busters®	3990.00	325		791.0	1.2473	4.5	94%	1	0	0
