Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
EsyShop	710.00	217		61.0	1.094	3.5	72%	0	0	1
SpeedEbazaar	649.00	59	8-11 days	0.0	1.0	4	80%	0	0	0
Shoptoz dot com	700.00	75	5-7 days	51.0	1.0786	3.5	71%	0	0	0
eTechnology	703.00	102	5-7 days	54.0	1.0832	1.5	7%	0	0	0
clicknsave	789.00	773		140.0	1.2157	4.5	81%	0	0	0
VVC SALES PUNE	799.00	134		150.0	1.2311	3.5	65%	1	0	0
Tipshi online	800.00	113		151.0	1.2327	3.5	60%	1	0	0
EXECLUSIVE STORE	749.00	31	5-7 days	100.0	1.1541	4	81%	0	0	0
SHANTI TECHNOLOGIES	848.00	28		199.0	1.3066	3.5	64%	0	0	0
Snapio	849.00			200.0	1.3082			0	0	0
Tipshi online	800.00	113	5-7 days	151.0	1.2327	3.5	60%	0	0	0
Ds mobile solutions	800.00			151.0	1.2327			0	0	0
