Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	399.00	302,273		0.0	1.0	4.5	93%	1	1	1
Choudhary Telecom	449.00			50.0	1.1253			0	0	0
God help telecom	499.00			100.0	1.2506			0	0	0
DEAL & WIN	599.00	320	5-7 days	200.0	1.5013	4	77%	0	0	0
Rexom	599.00	4	5-7 days	200.0	1.5013	4	75%	0	0	0
SUKLO	782.00	277		383.0	1.9599	4.5	83%	1	0	0
Best On Online	699.00		4-5 days	300.0	1.7519			0	0	0
KMENTERPRISES	899.00	103		500.0	2.2531	4	82%	0	0	0
SHREE RAM INFOTECH	1099.00		7-14 days	700.0	2.7544			0	0	0
MOBILES 24	499.00			100.0	1.2506			0	0	0
