Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
ROBINENTERPRISE	417.00	13	3-7 days	12.0	1.0296	1.5	8%	0	0	0
S G WORLD	405.00		5-7 days	0.0	1.0			0	0	0
BYSHOPNOW	468.00	98	5-7 days	63.0	1.1556	4	77%	0	0	0
ORGANIC STORE ZONE	540.00	5	1-4 days	135.0	1.3333	2	20%	0	0	0
Bliss SDS	549.00	1	5-7 days	144.0	1.3556	4	100%	0	0	0
ASG TRADING AND TECHNOLOGIES	590.00	86		185.0	1.4568	3	49%	0	0	1
A to Z GARMENTS	549.00	6		144.0	1.3556	3.5	67%	0	0	0
ZERNA	599.00	130	5-7 days	194.0	1.479	2.5	33%	0	0	0
star home shop	990.00	21	1-4 days	585.0	2.4444	2.5	43%	0	0	0
A to Z GARMENTS	579.00	6		174.0	1.4296	3.5	67%	0	0	0
A to Z GARMENTS	599.00	6		194.0	1.479	3.5	67%	0	0	0
