Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Moon Retail Pvt Ltd	2749.00	19	6-8 days	0.0	1.0	3	58%	0	0	0
STATUS COMP	2791.00	176		42.0	1.0153	4.5	88%	1	0	1
ALL IT GADGETS	2799.00	498		50.0	1.0182	4	82%	0	0	0
Independence offers_SLP	2999.00	442		250.0	1.0909	4.5	88%	1	0	0
Dot Com Services	2999.00	695		250.0	1.0909	4	74%	1	0	0
Best in Tech	3300.00	252		551.0	1.2004	4.5	94%	1	0	0
The Technology Touch	3300.00	60	6-8 days	551.0	1.2004	4	73%	0	0	0
AZHARI COLLECTION™	3800.00	171		1051.0	1.3823	4.5	94%	0	0	0
AD MARKETING	4590.00		6-8 days	1841.0	1.6697			0	0	0
BEST BUY HYDERABAD AUTHORISED	2999.00	170		250.0	1.0909	4.5	92%	0	0	0
