Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	6399.00	302,155		0.0	1.0	4.5	93%	1	1	1
RADIO & GRAMOPHONE HOUSE	6399.00	742		0.0	1.0	4.5	83%	0	0	0
GoodLuck Shoppie	7340.00	341		941.0	1.1471	4	83%	1	0	0
YahOoO	7345.00	108		946.0	1.1478	4	92%	1	0	0
WEB-TAIL	7349.00	8,105		950.0	1.1485	4	83%	1	0	0
Paradise Musicals	7450.00	134		1051.0	1.1642	5	96%	1	0	0
FADDISH	7499.00	1,412		1100.0	1.1719	4.5	98%	1	0	0
ESTOKE	7499.00	16		1100.0	1.1719	4.5	94%	1	0	0
CLICKBUY	7999.00	959		1600.0	1.25	4.5	88%	1	0	0
Easy Home Deals	7999.00	286		1600.0	1.25	4	82%	1	0	0
ACCESS	7999.00	104	6-8 days	1600.0	1.25	4	70%	0	0	0
Snapzone India	8990.00	67		2591.0	1.4049	4.5	82%	1	0	0
SOUND MASTERS	8999.00	334		2600.0	1.4063	5	100%	1	0	0
Starone Electronics	8999.00	26	6-8 days	2600.0	1.4063	4.5	92%	0	0	0
NAYA GADGET	8999.00	22	6-8 days	2600.0	1.4063	4	80%	0	0	0
KIDA Retail Private Ltd	9500.00	15,527		3101.0	1.4846	4	84%	1	0	0
Techno Raga	10450.00	2		4051.0	1.6331	5	100%	1	0	0
NSSC	11999.00	18		5600.0	1.8751	4.5	94%	1	0	0
Audio Borealis	12999.00		6-8 days	6600.0	2.0314			0	0	0
Jagzee Enterprises	16422.00	355		10023.0	2.5663	5	100%	1	0	0
NAYA GADGET	12999.00	22	6-8 days	6600.0	2.0314	4	80%	0	0	0
Peach Imports	17999.00	498		11600.0	2.8128	4.5	84%	1	0	0
Cart2India SLP	24714.00	1,333	11-19 days	18315.0	3.8622	3	53%	0	0	0
