Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Cannycom Store	999.00	696		0.0	1.0	4.5	93%	1	0	1
Appario Retail Private Ltd	1259.00	302,277		260.0	1.2603	4.5	93%	1	1	0
CAMERA ART & SUPPORTS	1429.00	39	5-7 days	430.0	1.4304	3.5	65%	0	0	0
The Zone	1449.00	1	4-9 days	450.0	1.4505	3	0%	0	0	0
CAMERA ART & SUPPORTS	1698.00	39	5-7 days	699.0	1.6997	3.5	65%	0	0	0
XANDZERO	1800.00	627		801.0	1.8018	4.5	87%	1	0	0
zenithtraders	1899.00	378		900.0	1.9009	4.5	90%	1	0	0
ShopForBest	1975.00	14	1-4 days	976.0	1.977	4.5	86%	0	0	0
Classic Network and Computers	2177.00	1,925	5-7 days	1178.0	2.1792	4	83%	0	0	0
The-EStore	2190.00	154	1-4 days	1191.0	2.1922	4.5	83%	0	0	0
ShopForBest	1975.00	14		976.0	1.977	4.5	86%	0	0	0
