Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	599.00	302,315		0.0	1.0	4.5	93%	1	1	1
MAK_MART	599.00	78	5-7 days	0.0	1.0	5	100%	0	0	0
BUGSBUNNY	695.00	25		96.0	1.1603	2.5	31%	1	0	0
Portronics Digital Pvt Ltd	699.00	917		100.0	1.1669	4.5	95%	1	0	0
Electrolinks	749.00	29		150.0	1.2504	4	76%	0	0	0
zenithtraders	799.00	378		200.0	1.3339	4.5	90%	1	0	0
Classic Network and Computers	950.00	1,925		351.0	1.586	4	83%	1	0	0
jelly telecom	899.00		5-7 days	300.0	1.5008			0	0	0
R K ENTERPRISE 1	999.00	27	5-7 days	400.0	1.6678	3.5	67%	0	0	0
Dhruvi M	999.00	9	5-7 days	400.0	1.6678	4.5	89%	0	0	0
Portronics Digital Pvt Ltd	699.00	917	5-7 days	100.0	1.1669	4.5	95%	0	0	0
Classic Network and Computers	950.00	1,925	5-7 days	351.0	1.586	4	83%	0	0	0
