Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
FOREVER BAZZAR	120.00	5	6 days	15.0	1.1429	2.5	40%	0	0	1
Gsm DUMANHILL ®	108.00	202		3.0	1.0286	3.5	65%	0	0	0
HINDAERO TRADERS	110.00			5.0	1.0476			0	0	0
AMN	120.00		14-15 days	15.0	1.1429			0	0	0
FASHION INDIA1	105.00	1		0.0	1.0	1	0%	0	0	0
Krater India	278.00	26		173.0	2.6476	4	71%	0	0	0
Hari Om Mobile	279.00	388		174.0	2.6571	4.5	97%	1	0	0
Rudra_Trader	248.00	18		143.0	2.3619	3.5	61%	0	0	0
M-GRAB	499.00	21		394.0	4.7524	2.5	33%	1	0	0
GrandZone	499.00	3	4-6 days	394.0	4.7524	3.5	67%	0	0	0
