Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Paradise Musicals	8995.00	134		0.0	1.0	5	96%	1	0	1
NN Kart	8995.00	1	6-8 days	0.0	1.0	1	0%	0	0	0
NSSC	8997.00	18		2.0	1.0002	4.5	94%	1	0	0
Appario Retail Private Ltd	8999.00	302,202		4.0	1.0004	4.5	93%	1	1	0
ACCESS	8999.00	104	6-8 days	4.0	1.0004	4	70%	0	0	0
NAYA GADGET	8999.00	22	6-8 days	4.0	1.0004	4	80%	0	0	0
Starone Electronics	8999.00	26	6-8 days	4.0	1.0004	4.5	92%	0	0	0
MUSICAL SHOPE	9300.00	1		305.0	1.0339	3	0%	0	0	0
Peach Imports	15499.00	498	13-20 days	6504.0	1.7231	4.5	84%	0	0	0
Cart2India SLP	26548.00	1,334	11-19 days	17553.0	2.9514	3	53%	0	0	0
