Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	1298.00	302,277		0.0	1.0	4.5	93%	1	1	1
Electrolinks	1309.00	29		11.0	1.0085	4	76%	0	0	0
Portronics Digital Pvt Ltd	1399.00	917	5-7 days	101.0	1.0778	4.5	95%	0	0	0
OMNI RETAIL	1499.00	229		201.0	1.1549	4.5	84%	1	0	0
House Of Electronics	1590.00	23	5-7 days	292.0	1.225	4	79%	0	0	0
thevaluestore	1599.00	200		301.0	1.2319	5	100%	0	0	0
adyant enterprises	1600.00			302.0	1.2327			1	0	0
zenithtraders	1590.00	378	5-7 days	292.0	1.225	4.5	90%	0	0	0
Krazzy Deal	1947.00	20		649.0	1.5	3.5	63%	0	0	0
The-EStore	1990.00	154	1-4 days	692.0	1.5331	4.5	83%	0	0	0
Dhruvi M	1899.00	9	5-7 days	601.0	1.463	4.5	89%	0	0	0
