Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
ESTOKE	799.00	17		66.0	1.09	4.5	94%	1	0	1
Shoptoz dot com	810.00	75		77.0	1.105	3.5	71%	1	0	0
Haridwar online Products Pvt Ltd	733.00	1		0.0	1.0	4	100%	0	0	0
clicknsave	815.00	773	6-8 days	82.0	1.1119	4.5	81%	0	0	0
Cloudtrade	825.00	235	6-8 days	92.0	1.1255	4	84%	0	0	0
UniqueClick	849.00	2,193		116.0	1.1583	4	81%	1	0	0
SpeedEbazaar	769.00	59	9-12 days	36.0	1.0491	4	80%	0	0	0
eTechnology	798.00	102	6-8 days	65.0	1.0887	1.5	7%	0	0	0
AaravTraders	799.00	4	8-15 days	66.0	1.09	4	75%	0	0	0
Technogazet	799.00	1,798		66.0	1.09	4.5	93%	0	0	0
Ondots	825.00	92		92.0	1.1255	3	54%	0	0	0
FotoCart dot in	950.00	398		217.0	1.296	4.5	86%	1	0	0
Durga music	990.00			257.0	1.3506			0	0	0
Kumar Club IT	999.00			266.0	1.3629			0	0	0
Jai Maa laxmi mobile and csc center	1199.00		13-15 days	466.0	1.6357			0	0	0
FTCPL Exclusive Online ®	1199.00	45	8-9 days	466.0	1.6357	4.5	93%	0	0	0
