Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
ESTOKE	769.00	16		9.0	1.0118	4.5	94%	1	0	0
Oceans Trade Company	770.00	327		10.0	1.0132	3.5	64%	1	0	0
Appario Retail Private Ltd	779.00	302,172		19.0	1.025	4.5	93%	1	1	1
clicknsave	789.00	773	6-8 days	29.0	1.0382	4.5	81%	0	0	0
Cloudtrade	799.00	235		39.0	1.0513	4	84%	1	0	0
Haridwar online Products Pvt Ltd	760.00	1		0.0	1.0	4	100%	0	0	0
DealoKart	840.00		6-8 days	80.0	1.1053			0	0	0
eTechnology	798.00	102	6-8 days	38.0	1.05	1.5	7%	0	0	0
FotoCart dot in	950.00	398		190.0	1.25	4.5	86%	1	0	0
Ondots	899.00	92	6-8 days	139.0	1.1829	3	54%	0	0	0
EXECLUSIVE STORE	899.00	31	6-8 days	139.0	1.1829	4	81%	0	0	0
AaravTraders	900.00	4	8-15 days	140.0	1.1842	4	75%	0	0	0
Sansar Online	999.99			239.99	1.3158			0	0	0
FTCPL Exclusive Online ®	1199.00	45	8-9 days	439.0	1.5776	4.5	93%	0	0	0
MS Communication Shop	899.00			139.0	1.1829			0	0	0
