Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Divyanshi Sales	763.00	266		14.0	1.0187	4.5	95%	1	0	0
Appario Retail Private Ltd	768.00	302,215		19.0	1.0254	4.5	93%	1	1	1
Oceans Trade Company	780.00	327		31.0	1.0414	3.5	64%	1	0	0
Shoptoz dot com	798.00	75		49.0	1.0654	3.5	71%	1	0	0
Cloudtrade	799.00	235		50.0	1.0668	4	84%	1	0	0
clicknsave	799.00	773	6-8 days	50.0	1.0668	4.5	81%	0	0	0
eTechnology	749.00	102	6-8 days	0.0	1.0	1.5	7%	0	0	0
SpeedEbazaar	769.00	59	9-12 days	20.0	1.0267	4	80%	0	0	0
VAISHNAVI TRADER	798.00	47	5-6 days	49.0	1.0654	3	57%	0	0	0
EzioInc78	860.00	154	6-8 days	111.0	1.1482	4	83%	0	0	0
VAISHNAVI TRADER	799.00	47	5-6 days	50.0	1.0668	3	57%	0	0	0
AaravTraders	777.00	4	8-15 days	28.0	1.0374	4	75%	0	0	0
Technogazet	799.00	1,798		50.0	1.0668	4.5	93%	0	0	0
Ondots	899.00	92	6-8 days	150.0	1.2003	3	54%	0	0	0
FTCPL Exclusive Online ®	1199.00	45	8-9 days	450.0	1.6008	4.5	93%	0	0	0
