Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	729.00	302,216		0.0	1.0	4.5	93%	1	1	1
Divyanshi Sales	729.00	266		0.0	1.0	4.5	95%	1	0	0
ESTOKE	759.00	17		30.0	1.0412	4.5	94%	1	0	0
The Techcurious	760.00	2		31.0	1.0425	5	100%	1	0	0
Oceans Trade Company	786.00	327		57.0	1.0782	3.5	64%	1	0	0
Technogazet	799.00	1,798		70.0	1.096	4.5	93%	1	0	0
Cloudtrade	799.00	235		70.0	1.096	4	84%	1	0	0
clicknsave	815.00	773	6-8 days	86.0	1.118	4.5	81%	0	0	0
Haridwar online Products Pvt Ltd	768.00	1		39.0	1.0535	4	100%	0	0	0
UniqueClick	849.00	2,193		120.0	1.1646	4	81%	1	0	0
eTechnology	775.00	102	6-8 days	46.0	1.0631	1.5	7%	0	0	0
EzioInc78	860.00	154	6-8 days	131.0	1.1797	4	83%	0	0	0
FotoCart dot in	950.00	398		221.0	1.3032	4.5	86%	1	0	0
EXECLUSIVE STORE	890.00	31	6-8 days	161.0	1.2209	4	81%	0	0	0
AaravTraders	1099.00	4	8-15 days	370.0	1.5075	4	75%	0	0	0
FTCPL Exclusive Online ®	1199.00	45	8-9 days	470.0	1.6447	4.5	93%	0	0	0
STARMALL	1199.00		6-8 days	470.0	1.6447			0	0	0
