Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
EzioInc78	1074.00	154		44.0	1.0427	4	83%	0	0	0
Appario Retail Private Ltd	1079.00	302,375		49.0	1.0476	4.5	93%	1	1	1
CloudNine India	1088.00	1,205		58.0	1.0563	4.5	92%	1	0	0
ecomstars	1098.00	2,859		68.0	1.066	4	82%	1	0	0
GO WIRELESS	1075.00		2-3 days	45.0	1.0437			0	0	0
amarvagroup	1049.00	467		19.0	1.0184	4.5	89%	0	0	0
Shoptoz dot com	1152.00	75		122.0	1.1184	3.5	71%	1	0	0
FotoCart dot in	1197.00	398		167.0	1.1621	4.5	86%	1	0	0
Cloudtrade	1225.00	235	6-7 days	195.0	1.1893	4	84%	0	0	0
clicknsave	1249.00	773	6-7 days	219.0	1.2126	4.5	81%	0	0	0
eTechnology	1186.00	102		156.0	1.1515	1.5	7%	0	0	0
EXECLUSIVE STORE	1188.00	31		158.0	1.1534	4	81%	0	0	0
Ondots	1299.00	92		269.0	1.2612	3	54%	0	0	0
MSAssured	1309.00	23	4-6 days	279.0	1.2709	3	54%	0	0	0
M&F Mobile Hut	1400.00		6-8 days	370.0	1.3592			0	0	0
Sachin Mobile 01	1999.00		13-14 days	969.0	1.9408			0	0	0
Blue Calyx Mobiles	1030.00			0.0	1.0			0	0	0
