Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	1079.00	302,375		29.0	1.0276	4.5	93%	1	1	1
WEB-TAIL	1109.00	8,106		59.0	1.0562	4	83%	1	0	0
Online Electro Mart	1115.00	7		65.0	1.0619	3	57%	1	0	0
THE GADGET HUB	1050.00			0.0	1.0			0	0	0
Shoptoz dot com	1143.00	75		93.0	1.0886	3.5	71%	1	0	0
DealoKart	1225.00			175.0	1.1667			0	0	0
Cloudtrade	1225.00	235	6-7 days	175.0	1.1667	4	84%	0	0	0
clicknsave	1249.00	773	6-7 days	199.0	1.1895	4.5	81%	0	0	0
eTechnology	1196.00	102		146.0	1.139	1.5	7%	0	0	0
Maya electronics showroom	1299.00			249.0	1.2371			0	0	0
Durga music	1390.00		6-7 days	340.0	1.3238			0	0	0
MSAssured	1384.00	23	4-6 days	334.0	1.3181	3	54%	0	0	0
LUCKY DIGITAL CAFE	1499.00			449.0	1.4276			0	0	0
Sachin Mobile 01	1999.00		13-14 days	949.0	1.9038			0	0	0
Blue Calyx Mobiles	1135.00			85.0	1.081			0	0	0
