Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	1113.00	302,277		0.0	1.0	4.5	93%	1	1	1
EsyShop	1199.00	217		86.0	1.0773	3.5	72%	0	0	0
Shoptoz dot com	1250.00	75		137.0	1.1231	3.5	71%	1	0	0
Pankaj Electricals	1250.00	211	5-7 days	137.0	1.1231	3.5	57%	0	0	0
Pandey Mobile & Accessories	1260.00			147.0	1.1321			0	0	0
UniqueClick	1499.00	2,193		386.0	1.3468	4	81%	1	0	0
Applon	1598.00	44	5-7 days	485.0	1.4358	4.5	89%	0	0	0
Ondots	1599.00	92	5-7 days	486.0	1.4367	3	54%	0	0	0
Cloudtrade	2499.00	235		1386.0	2.2453	4	84%	0	0	0
FTCPL Exclusive Online ®	2499.00	45	7-8 days	1386.0	2.2453	4.5	93%	0	0	0
Ondots	1675.00	92		562.0	1.5049	3	54%	1	0	0
