Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Cannycom Store	999.00	696		0.0	1.0	4.5	93%	1	0	1
Portronics Digital Pvt Ltd	999.00	917		0.0	1.0	4.5	95%	1	0	0
Portronics Digital Pvt Ltd	999.00	917	4-6 days	0.0	1.0	4.5	95%	0	0	0
Electrolinks	1389.00	29		390.0	1.3904	4	76%	0	0	0
House Of Electronics	1418.00	23	4-6 days	419.0	1.4194	4	79%	0	0	0
Krazzy Deal	1465.00	20		466.0	1.4665	3.5	63%	0	0	0
MAK_MART	1399.00	78	4-6 days	400.0	1.4004	5	100%	0	0	0
XANDZERO	1699.00	628		700.0	1.7007	4.5	87%	1	0	0
GXGW	1699.00	9		700.0	1.7007	3	44%	0	0	0
Classic Network and Computers	1799.00	1,925		800.0	1.8008	4	83%	1	0	0
Classic Network and Computers	1799.00	1,925	4-6 days	800.0	1.8008	4	83%	0	0	0
