Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	7149.00	302,149		0.0	1.0	4.5	93%	1	1	1
Diginet India	7894.00	132		745.0	1.1042	3	48%	1	0	0
Extender	7895.00	201		746.0	1.1044	4.5	90%	1	0	0
Special Deals	7899.00	31		750.0	1.1049	3.5	74%	1	0	0
CLICKBUY	8290.00	959		1141.0	1.1596	4.5	88%	1	0	0
Best in Tech	8400.00	252		1251.0	1.175	4.5	94%	1	0	0
DEALS AMAZING	8480.00	1,250		1331.0	1.1862	4	83%	1	0	0
Digital Xpert	8490.00	1,034		1341.0	1.1876	5	97%	1	0	0
Discount_Store_	8990.00	71		1841.0	1.2575	4.5	90%	0	0	0
CD Plaza	9800.00	3	6-8 days	2651.0	1.3708	4.5	67%	0	0	0
Sri balaji fashion	8500.00	3		1351.0	1.189	1.5	0%	0	0	0
