Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
OMNI RETAIL	2089.00	228		0.0	1.0	4.5	84%	1	0	0
Electric Nation	2089.00	476		0.0	1.0	4.5	98%	1	0	0
Appario Retail Private Ltd	2089.00	302,185		0.0	1.0	4.5	93%	1	1	1
Krazzy Deal	2145.00	20		56.0	1.0268	3.5	63%	0	0	0
Special Deals	2149.00	31		60.0	1.0287	3.5	74%	1	0	0
Discount_Store_	2190.00	71		101.0	1.0483	4.5	90%	0	0	0
Digital Xpert	2250.00	1,034		161.0	1.0771	5	97%	1	0	0
True Accessories	2250.00	196		161.0	1.0771	4.5	91%	1	0	0
RADIO & GRAMOPHONE HOUSE	2290.00	742		201.0	1.0962	4.5	83%	0	0	0
Best in Tech	2365.00	252		276.0	1.1321	4.5	94%	1	0	0
CIRCUIT BOARD	2490.00	1,772		401.0	1.192	5	100%	1	0	0
Sri balaji fashion	2190.00	3		101.0	1.0483	1.5	0%	0	0	0
Sri balaji fashion	2490.00	3		401.0	1.192	1.5	0%	0	0	0
