Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
GO WIRELESS	155.00		2-3 days	0.0	1.0			0	0	0
DIGITAL SOLUTION	208.00	93		53.0	1.3419	2.5	44%	0	0	0
JAGDAMBA MOBILE	222.00	7		67.0	1.4323	3	57%	0	0	0
Applon	228.00	44		73.0	1.471	4.5	89%	0	0	0
eTechnology	155.00	102		0.0	1.0	1.5	7%	0	0	0
ESTOKE	239.00	17		84.0	1.5419	4.5	94%	1	0	1
online mkt	239.00	83		84.0	1.5419	4	84%	0	0	0
EzioInc78	239.00	154		84.0	1.5419	4	83%	0	0	0
WEB-TAIL	243.00	8,106		88.0	1.5677	4	83%	1	0	0
Oceans Trade Company	243.00	327		88.0	1.5677	3.5	64%	1	0	0
EXECLUSIVE STORE	165.00	31		10.0	1.0645	4	81%	0	0	0
VIMLA TELECOM	249.00		13-14 days	94.0	1.6065			0	0	0
Samrat international	194.00	7		39.0	1.2516	4.5	86%	0	0	0
AaravTraders	179.00	4	6-14 days	24.0	1.1548	4	75%	0	0	0
MSAssured	199.00	23	4-6 days	44.0	1.2839	3	54%	0	0	0
MAKING POSSIBLE	220.00	1	4-9 days	65.0	1.4194	5	100%	0	0	0
Cloudtrade	289.00	235		134.0	1.8645	4	84%	0	0	0
Tulja Mobile And Trading	199.00	76		44.0	1.2839	3.5	62%	0	0	0
clicknsave	289.00	773	6-7 days	134.0	1.8645	4.5	81%	0	0	0
Shoptoz dot com	215.00	75		60.0	1.3871	3.5	71%	0	0	0
FTCPL Exclusive Online ®	222.00	45	7-8 days	67.0	1.4323	4.5	93%	0	0	0
Ondots	299.00	92		144.0	1.929	3	54%	1	0	0
neha communication shop	299.00		14-15 days	144.0	1.929			0	0	0
TOP1MOBILES	300.00			145.0	1.9355			0	0	0
Chawla Mobiles	225.00	7		70.0	1.4516	5	100%	0	0	0
Jaikara Enterprises	329.00			174.0	2.1226			1	0	0
Drishya Enterprises1	329.00	1	6-7 days	174.0	2.1226	3	0%	0	0	0
Snapio	359.00		6-7 days	204.0	2.3161			0	0	0
MEERA ELECTRICALS SHOP	399.00			244.0	2.5742			0	0	0
amarvagroup	399.00	467		244.0	2.5742	4.5	89%	0	0	0
Blue Calyx Mobiles	245.00			90.0	1.5806			0	0	0
MS Communication Shop	299.00			144.0	1.929			0	0	0
