Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	119.00	302,155		44.0	1.5867	4.5	93%	1	1	1
SMM	120.00	151		45.0	1.6	3.5	59%	0	0	0
SHIVAKASHI TRADING CO	125.00			50.0	1.6667			0	0	0
AS Sales Enterprise	75.00		5-6 days	0.0	1.0			0	0	0
HELLO WORLD® MOBILE SOLUTION	109.00	5		34.0	1.4533	2.5	40%	0	0	0
A1 Mobile	149.00	18		74.0	1.9867	4.5	92%	0	0	0
NaazCollection	149.00		6-8 days	74.0	1.9867			0	0	0
VK Enterprises	108.00	14	6-8 days	33.0	1.44	4	79%	0	0	0
SP Ekart	120.00		6-8 days	45.0	1.6			0	0	0
JMD STORES	199.00	28		124.0	2.6533	3.5	67%	0	0	0
B-35	109.00		5-6 days	34.0	1.4533			0	0	0
