Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	780.00	302,375		30.0	1.04	4.5	93%	1	1	1
UniqueClick	790.00	2,193		40.0	1.0533	4	80%	1	0	0
MADHUSHUDHAN ASSOCIATES	790.00	59	6-7 days	40.0	1.0533	3.5	65%	0	0	0
Bharathi Health Mix	750.00		6-7 days	0.0	1.0			0	0	0
Go_wireless	899.00	14		149.0	1.1987	4	79%	0	0	0
Oceans Trade Company	912.00	327		162.0	1.216	3.5	64%	1	0	0
ecomstars	928.00	2,859		178.0	1.2373	4	82%	1	0	0
EzioInc78	929.00	154		179.0	1.2387	4	83%	0	0	0
Maya electronics showroom	999.00			249.0	1.332			0	0	0
LUCKY DIGITAL CAFE	999.00			249.0	1.332			0	0	0
SHONA INTERNATIONAL	999.00		4-6 days	249.0	1.332			0	0	0
MS Communication Shop	899.00			149.0	1.1987			0	0	0
