Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Gungun Accession Hub	860.00			0.0	1.0			0	0	0
telecom world	865.00	1		5.0	1.0058	5	100%	1	0	0
CloudNine India	870.00	1,205		10.0	1.0116	4.5	92%	1	0	0
kpc	875.00	77		15.0	1.0174	4.5	90%	0	0	0
Appario Retail Private Ltd	897.00	302,372		37.0	1.043	4.5	93%	1	1	1
Bro enter	870.00		6-7 days	10.0	1.0116			0	0	0
HARSH MARKETINGS	880.00	38		20.0	1.0233	3.5	66%	0	0	0
Hundia eStore	985.00			125.0	1.1453			0	0	0
R K ENTERPRISE 1	998.00	27		138.0	1.1605	3.5	67%	0	0	0
Mark Digital	1070.00			210.0	1.2442			0	0	0
