Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Rajkamal Tele Services	786.00	21		41.0	1.055	4.5	95%	1	0	1
TMG ASSOCIATES	787.00	329		42.0	1.0564	4.5	93%	1	0	0
sachin enterprise01	745.00		5-7 days	0.0	1.0			0	0	0
PC MEDIA	769.00	49		24.0	1.0322	4	71%	0	0	0
Enterpriseskesar	849.00		8-9 days	104.0	1.1396			0	0	0
MEGADEALS	900.00	7		155.0	1.2081	4.5	100%	1	0	0
JR INFINITY WEB	919.00	5		174.0	1.2336	4.5	100%	1	0	0
Ondots	899.00	92	5-7 days	154.0	1.2067	3	54%	0	0	0
Shoptoz dot com	899.00	75	5-7 days	154.0	1.2067	3.5	71%	0	0	0
GXGW	999.00	9		254.0	1.3409	3	44%	0	0	0
Enterpriseskesar	1099.00		8-9 days	354.0	1.4752			0	0	0
FotoCart dot in	1195.00	398		450.0	1.604	4.5	86%	1	0	0
