Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Wánjù Store	229.00		6-7 days	65.0	1.3963			0	0	0
Reliable Enterprises1	164.00	6	6-7 days	0.0	1.0	4	67%	0	0	0
DIGITAL SOLUTION	234.00	93	2 days	70.0	1.4268	2.5	44%	0	0	1
EzioInc78	239.00	154		75.0	1.4573	4	83%	0	0	0
MAKING POSSIBLE	249.00	1	1-4 days	85.0	1.5183	5	100%	0	0	0
AaravTraders	180.00	4	6-14 days	16.0	1.0976	4	75%	0	0	0
GO WIRELESS	226.00		2-3 days	62.0	1.378			0	0	0
Samrat international	214.00	7		50.0	1.3049	4.5	86%	0	0	0
MSAssured	210.00	23	4-6 days	46.0	1.2805	3	54%	0	0	0
eTechnology	210.00	102		46.0	1.2805	1.5	7%	0	0	0
Tulja Mobile And Trading	199.00	76		35.0	1.2134	3.5	62%	0	0	0
Technogazet	290.00	1,799		126.0	1.7683	4.5	93%	1	0	0
Divyanshi Sales	290.00	266		126.0	1.7683	4.5	95%	1	0	0
Haridwar online Products Pvt Ltd	214.00	1	6-7 days	50.0	1.3049	4	100%	0	0	0
Cloudtrade	295.00	235		131.0	1.7988	4	84%	1	0	0
UNIQUE MOBILE POINT 1	299.00		1-4 days	135.0	1.8232			0	0	0
LUCKY DIGITAL CAFE	299.00			135.0	1.8232			0	0	0
Gauzy Sales Private Limited	240.00			76.0	1.4634			0	0	0
Shree prahlad enterprises	220.00		2-3 days	56.0	1.3415			0	0	0
clicknsave	329.00	773		165.0	2.0061	4.5	81%	1	0	0
MAKING POSSIBLE	300.00	1	1-4 days	136.0	1.8293	5	100%	0	0	0
Drishya Enterprises1	329.00	1	6-7 days	165.0	2.0061	3	0%	0	0	0
Ondots	370.00	92		206.0	2.2561	3	54%	1	0	0
Blue Calyx Mobiles	315.00			151.0	1.9207			0	0	0
MS Communication Shop	350.00			186.0	2.1341			0	0	0
