Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Special Deals	3538.00	31		0.0	1.0	3.5	74%	1	0	0
Electric-Deals	3539.00	1,303		1.0	1.0003	4.5	94%	1	0	0
Appario Retail Private Ltd	3569.00	302,198		31.0	1.0088	4.5	93%	1	1	1
Sky Sales	3579.00	9		41.0	1.0116	5	100%	1	0	0
Extender	3630.00	201		92.0	1.026	4.5	90%	1	0	0
Krazzy Deal	3634.00	20		96.0	1.0271	3.5	63%	0	0	0
OMNI RETAIL	3790.00	228		252.0	1.0712	4.5	84%	1	0	0
Discount_Store_	3790.00	71		252.0	1.0712	4.5	90%	0	0	0
easy Stores	3990.00			452.0	1.1278			0	0	0
camnaccstore	4698.00	611		1160.0	1.3279	4	77%	1	0	0
Digital Xpert	4990.00	1,034		1452.0	1.4104	5	97%	1	0	0
RADIO & GRAMOPHONE HOUSE	4990.00	742		1452.0	1.4104	4.5	83%	0	0	0
TOTAL MOBILE AND GAMING®	4990.00	141		1452.0	1.4104	4.5	89%	0	0	0
Sri balaji fashion	3990.00	3		452.0	1.1278	1.5	0%	0	0	0
