Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Extender	3620.00	201		0.0	1.0	4.5	90%	1	0	0
Appario Retail Private Ltd	3620.00	302,199		0.0	1.0	4.5	93%	1	1	1
Krazzy Deal	3624.00	20		4.0	1.0011	3.5	63%	0	0	0
Electric-Deals	3625.00	1,303		5.0	1.0014	4.5	94%	1	0	0
Sky Sales	3649.00	9		29.0	1.008	5	100%	1	0	0
Gaming Best	3699.00	3	8-9 days	79.0	1.0218	2.5	33%	0	0	0
Discount_Store_	3790.00	71		170.0	1.047	4.5	90%	0	0	0
OMNI RETAIL	3990.00	228		370.0	1.1022	4.5	84%	1	0	0
camnaccstore	4348.00	611		728.0	1.2011	4	77%	1	0	0
Digital Xpert	4900.00	1,034		1280.0	1.3536	5	97%	1	0	0
