Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Reliable Enterprises1	135.00	6	6-7 days	0.0	1.0	4	67%	0	0	0
DIGITAL SOLUTION	205.00	93		70.0	1.5185	2.5	44%	0	0	0
Appario Retail Private Ltd	207.00	302,468		72.0	1.5333	4.5	93%	1	1	1
MSAssured	199.00	23	4-6 days	64.0	1.4741	3	54%	0	0	0
Haridwar online Products Pvt Ltd	185.00	1	6-7 days	50.0	1.3704	4	100%	0	0	0
clicknsave	269.00	773		134.0	1.9926	4.5	81%	1	0	0
UniqueClick	299.00	2,193		164.0	2.2148	4	80%	1	0	0
MAKING POSSIBLE	299.00	1	1-4 days	164.0	2.2148	5	100%	0	0	0
Shree prahlad enterprises	203.00		2-3 days	68.0	1.5037			0	0	0
Samrat international	246.00	7		111.0	1.8222	4.5	86%	0	0	0
Haridwar online Products Pvt Ltd	195.00	1	6-7 days	60.0	1.4444	4	100%	0	0	0
Shree prahlad enterprises	204.00		2-3 days	69.0	1.5111			0	0	0
SHONA INTERNATIONAL	249.00		4-6 days	114.0	1.8444			0	0	0
cloudind	349.00	1,149	8-9 days	214.0	2.5852	5	99%	0	0	0
