Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	1699.00	302,275		0.0	1.0	4.5	93%	1	1	1
Electrolinks	1749.00	29		50.0	1.0294	4	76%	0	0	0
House Of Electronics	1798.00	23		99.0	1.0583	4	79%	1	0	0
Krazzy Deal	1898.00	20		199.0	1.1171	3.5	63%	0	0	0
thevaluestore	1899.00	200		200.0	1.1177	5	100%	0	0	0
R K ENTERPRISE 1	1999.00	27	12-14 days	300.0	1.1766	3.5	67%	0	0	0
CAMERA ART & SUPPORTS	2122.00	39	11-12 days	423.0	1.249	3.5	65%	0	0	0
M 7 e TRADERS	2091.00	6	11-12 days	392.0	1.2307	4.5	100%	0	0	0
The-EStore	2470.00	154	1-4 days	771.0	1.4538	4.5	83%	0	0	0
Njoy-Buying	2490.00	30	4-9 days	791.0	1.4656	3.5	73%	0	0	0
jelly telecom	2499.00		12-14 days	800.0	1.4709			0	0	0
